Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",1210,6,47 uf,
C15,0402,1,100nF 100V,
"D1, D2",Diode_Bridge_OnSemi_SDIP-4L,2,DF01S,
D4,D_SMA,1,SMAJ58A,
"J1, J2",PinSocket_2x02_P2.54mm_Vertical,2,Conn_02x02_Odd_Even,
J3,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
"LSI-U1, LSI-U2",lsi-powermodule-7,2,lsi-powermodule-7,
"R1, R12",0402,2,0,
"R2, R3",01005,2,20m,
R22,0402,1,24.9K,
R23,0402,1,180K,
R24,0402,1,4.42K,
"R4, R5",1210,2,100m,
U1,DFN-10_DD_LIT,1,LTC4413EDD-2-PBF,
U3,TSSOP-8_4.4x3mm_P0.65mm,1,TPS2375-1,
