Designator,Mid X,Mid Y,Rotation,Layer
C1,33.25,-45.25,0.0,top
C15,73.75,-62.0,90.0,top
C2,33.25,-48.75,0.0,top
C3,33.25,-52.25,0.0,top
C4,33.25,-69.5,0.0,top
C5,33.25,-73.0,0.0,top
C6,33.25,-76.5,0.0,top
D1,84.0,-64.0,0.0,top
D2,84.0,-55.0,0.0,top
D4,76.75,-64.5,270.0,top
J1,89.52,-42.63,90.0,top
J2,89.52,-79.33,90.0,top
J3,60.63,-36.48,90.0,top
LSI-U1,64.25,-75.0,180.0,top
LSI-U2,64.25,-56.0,180.0,top
R1,70.0,-57.25,180.0,top
R12,70.0,-76.25,180.0,top
R2,31.75,-60.0,90.0,top
R22,76.25,-59.99,270.0,top
R23,73.75,-60.0,270.0,top
R24,75.0,-60.0,270.0,top
R3,31.75,-58.5,270.0,top
R4,33.25,-41.75,180.0,top
R5,33.25,-66.0,180.0,top
U1,34.5522,-59.249999,90.0,top
U3,75.0,-55.0,0.0,top
